,name,address,stars,score,link,price,currency,main_image
1486,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/cherry-hotel-apartment/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1487,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/lotus-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1488,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/good-location-fully-furnished-cozy-quiet/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1489,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/4-bedrooms-villas-at-da-nang-beach-private-pool/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1490,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/medii-boutique/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1491,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/ocean-apartment/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1492,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/mona-lisa-seaview-apartment/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1493,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/luxury-apartment-danang-altara/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1494,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/enjoy-green-4-br-the-ocean-villas/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1495,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/clarity-the-pointvilla-da-nang-4-bedrooms/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1496,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/lemonee-oceanvilla-da-nang-3-brs/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1497,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/like-backpacker-hostel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1498,Unknown,Unknown,0,0,https://www.agoda.com/vi-vn/sea-home-my-khe-beach-2340-my-khe-beach-da-nang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,0,Unknown,Unknown
1499,Chung cư studio 35 m² có 1 phòng tắm riêng ở Phước Mỹ (Sunlight apartment with classical style),"Phước Mỹ, Đà Nẵng - cách trung tâm 2,9 km",0,0,https://www.agoda.com/vi-vn/sunlight-apartment-with-classical-style-h15475117/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,397.498,397.498,https://pix8.agoda.net/hotelImages/agoda-homes/15475117/ccaff8d71924b6073a6ca6ce71f45e82.jpg?ca=11&ce=1&s=450x450
1500,Le Vent Villa 3BR-Free Pick Up,"Hòa Hải, Đà Nẵng - cách trung tâm 4,0 km",0,0,https://www.agoda.com/vi-vn/le-vent-villa-3br-free-pick-up/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,6.944.444,6.944.444,https://q-xx.bstatic.com/xdata/images/hotel/max500/406471250.jpg?k=ffc86a035b7a084b23c0c81860fcccb814fca5c8f14400c95a404ee8f5a8d43b&s=450x450
1501,Liens Beach Hostel,"Phước Mỹ, Đà Nẵng - cách trung tâm 1,9 km",0,0,https://www.agoda.com/vi-vn/lien-s-beach-hostel-h8837886/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,278.122,278.122,https://pix8.agoda.net/property/32746926/0/ff15028d8fc1228aa3767a0337b42e88.jpg?ce=0&s=450x450
1502,"Nhà riêng 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Phước Mỹ (S&B House/ Cozy private room 1 in Sơn Trà)","Phước Mỹ, Đà Nẵng - cách trung tâm 0,6 km",0,0,https://www.agoda.com/vi-vn/s-b-house-cozy-private-room-1-in-son-tra/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,352.734,352.734,https://pix8.agoda.net/hotelImages/36401506/0/8dabbede669c616d549f015634843a5b.jpg?ce=0&s=450x450
1503,"Căn hộ 33 m² 1 phòng ngủ, 1 phòng tắm riêng ở Phước Mỹ (POOL Seaview 4B - Blue Sea Apartment - Near Beach)","Phước Mỹ, Đà Nẵng - cách trung tâm 1,8 km",0,"9,5",https://www.agoda.com/vi-vn/pool-seaview-4b-blue-sea-apartment-near-beach/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,286.155,286.155,https://pix8.agoda.net/hotelImages/34300147/0/6e02c05a98947053ad68c573937dfbca.jpg?ce=0&s=450x450
1504,Abogo Resort Villas Ocean Da Nang,"Hòa Hải, Đà Nẵng - cách trung tâm 11,3 km",0,"8,3",https://www.agoda.com/vi-vn/abogo-resort-villas-ocean-da-nang/hotel/all/a-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=ea1f2849-d41d-4a00-bc76-87ac9d88eaa7,7.914.662,7.914.662,https://q-xx.bstatic.com/xdata/images/hotel/max500/276067377.jpg?k=fef13e1024154accd6bf44f8f40d511d52f94500f175ca39c8268dbf1fac0cab&s=450x450
